"game_id","Date","home_team_id","away_team_id","home_score","away_score"
"a35rXBZwQL",2020-10-11,"NWMWlBK5lz","kRQabn8MKZ",0,1
"Xj5YkyzwQb",2020-10-11,"9z5k7Yg5A3","APk5LGOMOW",2,1
"9vQ284Rx5K",2020-10-11,"eVq3ya6MWO","jYQJ19EqGR",3,1
"eV5DNkxJQK",2020-10-11,"Vj58weDM8n","19vQ2095K6",1,2
"7vQ7WxLDQD",2020-10-11,"lgpMOvnQzy","a2lqR4JMr0",2,1
"Pk5LJ6vDQO",2020-10-10,"KAqBN0Vqbg","a2lqRX2Mr0",0,1
"EGMPWR30Qa",2020-10-10,"zeQZkL1MKw","YgOMngl5wN",1,0
"eVq3Jy0w5W",2020-10-08,"0KPqjA456v","lgpMOvnQzy",3,0
"NPqxXABZq9",2020-10-08,"kaDQ0wRqEv","WBLMvYAQxe",3,6
"0x5gXW3Rq7",2020-10-08,"jYQJ19EqGR","a2lqR4JMr0",2,1
"eV5DN2RnQK",2020-10-08,"Z2vQ1xlqrA","X0Oq66zq6D",1,0
"vzqo2JaB5a",2020-10-08,"Vj58weDM8n","EKXMeX3Q64",4,1
"raMyYeWNMd",2020-10-08,"YgOMngl5wN","mKAqBBmqbg",2,0
"7vQ7WewGQD",2020-10-07,"mvzqoLZQap","APk5LGOMOW",1,2
"aDQ0rlnR5E",2020-10-07,"19vQ2095K6","kRQabn8MKZ",0,1
"Oa5wXdyWq1",2020-10-07,"9z5k7Yg5A3","NWMWlBK5lz",3,0
"kRQa1WZbQK",2020-10-07,"a2lqRX2Mr0","zeQZkL1MKw",1,2
"wvq9GXymMW",2020-10-07,"KAqBN0Vqbg","jYQJ8EW5GR",0,0
"2lqRG7WxQr",2020-10-07,"vzqoOgNqap","kRQand1MKZ",0,0
"gOMnXYpBqw",2020-10-05,"a2lqR4JMr0","eVq3ya6MWO",1,3
"gpMOBew7Qz",2020-10-04,"0KPqjA456v","kaDQ0wRqEv",2,1
"0Oq6BLPzq6",2020-10-04,"jYQJ19EqGR","lgpMOvnQzy",3,1
"0x5gXWdRq7",2020-10-04,"mKAqBBmqbg","mvzqoLZQap",2,2
"KAqBPkXZMb",2020-10-04,"zeQZkL1MKw","Vj58weDM8n",2,3
"NWMWRonZQl",2020-10-04,"kRQand1MKZ","NWMWlBK5lz",2,0
"Pk5LJ6j7QO",2020-10-04,"YgOMngl5wN","Z2vQ1xlqrA",1,2
